COUNTRY,iso3,Total Courses,Completions,Completion Percentage,Employee Count
Azerbaijan,AZE,3,3,100,12
Czech Republic,CZE,3,3,100,29
Denmark,DNK,17,17,100,126
Hungary,HUN,10,10,100,27
Sweden,SWE,6,6,100,326
India,IND,46,45,97.82608696,26
Malaysia,MYS,200,190,95,66
Taiwan,TWN,15,14,93.33333333,42
Hong Kong,HKG,34,31,91.17647059,81
Singapore,SGP,256,231,90.234375,141
Russia,RUS,115736,103637,89.54603581,6926
Finland,FIN,27,24,88.88888889,63
Svalbard and Jan Mayen,SJM,17,15,88.23529412,23
Romania,ROU,8,7,87.5,17
United States,USA,4453509,3808827,85.5241788,120014
Netherlands,NLD,10363,8809,85.00434237,3341
Ukraine,UKR,42,35,83.33333333,74
Korea,KOR,41,34,82.92682927,20
Austria,AUT,52,43,82.69230769,170
Spain,ESP,9820,7977,81.23217923,1630
Italy,ITA,7712,6239,80.89989627,944
Ireland,IRL,5,4,80,18
New Zealand,NZL,25,20,80,377
United Arab Emirates,ARE,5,4,80,53
Australia,AUS,187,140,74.86631016,1926
Belgium,BEL,55,40,72.72727273,96
Japan,JPN,66,48,72.72727273,994
United Kingdom,GBR,219,141,64.38356164,713
Poland,POL,16348,10305,63.03523367,2816
Canada,CAN,94834,58756,61.9566822,20395
Switzerland,CHE,78,48,61.53846154,83
Portugal,PRT,7,4,57.14285714,135
Germany,DEU,131,73,55.72519084,534
France,FRA,607,288,47.44645799,545
Norway,NOR,7,3,42.85714286,82
China,CHN,8,1,12.5,566
Egypt,EGY,8,1,12.5,25
Israel,ISR,3,0,0,25
Kazakhstan,KAZ,1,0,0,6
South Africa,ZAF,2,0,0,44
